jelo,kategorija,cijena,datum
Voćni sendvič,Sendvič,3.0,2019-08-18 13:55:11
Bijelo Vino,Piće,15.0,2019-05-13 22:21:15
Omlet,Doručak,3.5,2019-05-22 09:15:27
Riblja čorba,Posno,6.0,2019-04-12 07:16:08
Indeks sendvič,Sendvič,2.0,2019-07-25 00:13:01
Ćevapi mala porcija,Roštilj,3.0,2019-11-27 11:32:53
Oslić 200g,Posno,6.0,2019-08-21 18:34:00
Šiš ćevapi,Roštilj,4.0,2019-03-23 12:34:31
Oslić 200g,Posno,6.0,2019-06-10 19:18:23
Ćevapi srednja porcija,Roštilj,5.0,2019-10-25 23:05:21
Kupus salata 100g,Salata,1.0,2019-03-08 01:25:31
Indeks sendvič,Sendvič,2.0,2019-01-10 21:03:59
Pileći file,Roštilj,5.0,2019-05-23 04:00:21
Jabuka,Piće,2.0,2019-12-22 23:39:42
Kola,Piće,2.0,2019-11-22 08:14:09
Ruska salata 100g,Salata,2.0,2019-09-16 13:48:32
Kola,Piće,2.0,2019-07-08 01:28:19
Crno Vino,Piće,18.0,2019-04-20 10:01:59
Kapućino,Kafa,2.0,2019-06-23 17:20:36
Ruska salata 200g,Salata,4.0,2019-06-02 04:01:46
Hercegovačko vino,Piće,20.0,2019-11-15 23:19:58
Indeks sendvič,Sendvič,2.0,2019-06-23 22:42:56
Doručak specijal,Doručak,6.0,2019-02-14 01:48:57
Fruit smoothie 2,Smoothie,3.0,2019-06-18 05:55:49
Riblja čorba,Posno,6.0,2019-10-31 02:24:46
Riblja čorba,Posno,6.0,2019-11-01 04:45:22
Hamburger,Ručak,4.0,2019-01-15 17:04:14
Ćevapi srednja porcija,Roštilj,5.0,2019-12-13 10:29:26
Ruska salata 100g,Salata,2.0,2019-04-17 21:38:33
Jabuka,Piće,2.0,2019-05-24 08:42:15
Ćevapi srednja porcija,Roštilj,5.0,2019-07-18 11:27:51
Luk,Salata,1.0,2019-11-12 05:57:07
Ćevapi velika porcija,Roštilj,6.5,2019-11-12 06:58:44
Hercegovačko vino,Piće,20.0,2019-09-09 00:24:33
Ćevapi srednja porcija,Roštilj,5.0,2019-12-30 04:34:07
Bijelo Vino,Piće,15.0,2019-02-15 18:48:35
Indeks sendvič,Sendvič,2.0,2019-04-20 14:00:03
Kapućino,Kafa,2.0,2019-09-18 10:10:29
Hercegovačko vino,Piće,20.0,2019-07-04 05:16:00
Omlet,Doručak,3.5,2019-06-07 09:59:51
Kapućino,Kafa,2.0,2019-03-11 00:35:35
Ćevapi srednja porcija,Roštilj,5.0,2019-04-04 13:22:59
Dupli čizburger,Ručak,6.0,2019-02-20 10:05:51
Riblja čorba,Posno,6.0,2019-03-13 17:05:19
Ruska salata 100g,Salata,2.0,2019-05-25 16:45:59
Omlet sa povrćem,Doručak,4.0,2019-11-27 17:16:32
Kafa,Kafa,2.0,2019-06-24 19:09:22
Dupli čizburger,Ručak,6.0,2019-02-10 22:57:22
Dupli čizburger,Ručak,6.0,2019-07-05 20:15:09
Jabuka,Piće,2.0,2019-07-08 21:00:39
Fruit smoothie 3,Smoothie,3.0,2019-12-14 21:23:08
Jabuka,Piće,2.0,2019-01-05 11:32:48
Cedevita,Piće,3.0,2019-04-25 06:27:32
Luk,Salata,1.0,2019-11-30 03:34:02
Luk,Salata,1.0,2019-01-08 00:10:30
Hamburger,Ručak,4.0,2019-04-16 05:08:25
Čaj,Piće,1.5,2019-03-24 07:52:13
Ruska salata 200g,Salata,4.0,2019-04-03 10:45:29
Oslić 300g,Posno,8.0,2019-08-14 01:59:01
Doručak specijal,Doručak,6.0,2019-08-28 23:23:15
Cedevita,Piće,3.0,2019-07-30 02:05:28
Jabuka,Piće,2.0,2019-10-28 16:51:41
Doručak specijal,Doručak,6.0,2019-07-12 04:44:11
Ruska salata 200g,Salata,4.0,2019-01-21 04:01:40
Indeks sendvič,Sendvič,2.0,2019-11-03 14:35:03
Jagoda,Piće,2.0,2019-01-16 16:20:48
Jabuka,Piće,2.0,2019-05-26 05:29:57
Luk,Salata,1.0,2019-04-14 21:48:39
Šiš ćevapi,Roštilj,4.0,2019-10-20 23:23:05
Indeks sendvič,Sendvič,2.0,2019-08-10 18:51:48
Kafa,Kafa,2.0,2019-04-26 03:15:00
Pastrmka 200g,Posno,7.0,2019-03-18 01:12:23
Fruit smoothie 3,Smoothie,3.0,2019-12-19 16:45:52
Ćevapi srednja porcija,Roštilj,5.0,2019-03-23 19:25:21
Crno Vino,Piće,18.0,2019-10-03 15:28:17
Indeks sendvič,Sendvič,2.0,2019-06-12 22:29:57
Roštiljska kobasica,Roštilj,3.0,2019-09-04 11:58:36
Kafa,Kafa,2.0,2019-04-08 08:31:48
Omlet sa sirom,Doručak,4.0,2019-02-13 12:16:06
Jaja i kobasica,Doručak,5.0,2019-01-23 19:27:41
Oslić 200g,Posno,6.0,2019-01-23 00:43:12
Indeks sendvič,Sendvič,2.0,2019-01-29 04:19:16
Ćevapi srednja porcija,Roštilj,5.0,2019-10-29 21:31:31
Voćni sendvič,Sendvič,3.0,2019-01-25 10:41:26
Ćevapi velika porcija,Roštilj,6.5,2019-12-24 23:51:00
Gurmanski hamburger,Ručak,7.0,2019-01-28 21:26:25
Omlet sa slaninom,Doručak,5.0,2019-01-21 21:15:52
Jaja i kobasica,Doručak,5.0,2019-05-10 02:30:34
Engleska salata 100g,Salata,2.0,2019-05-09 01:40:13
Hamburger,Ručak,4.0,2019-09-09 01:01:45
Šiš ćevapi,Roštilj,4.0,2019-07-15 08:37:21
Roštiljska kobasica,Roštilj,3.0,2019-09-25 19:56:56
Omlet,Doručak,3.5,2019-09-10 04:19:03
Vijetnamski som 200g,Posno,12.0,2019-05-31 11:12:50
Indeks sendvič,Sendvič,2.0,2019-03-20 15:34:42
Engleska salata 100g,Salata,2.0,2019-07-20 12:02:36
Kapućino,Kafa,2.0,2019-06-23 17:59:32
Fruit smoothie 3,Smoothie,3.0,2019-01-28 21:07:42
Vijetnamski som 200g,Posno,12.0,2019-09-26 19:48:40
Čaj,Piće,1.5,2019-11-18 03:33:02
Indeks sendvič,Sendvič,2.0,2019-10-05 13:58:30
Fruit smoothie 3,Smoothie,3.0,2019-04-19 12:32:59
Hercegovačko vino,Piće,20.0,2019-03-05 21:43:14
Omlet sa povrćem,Doručak,4.0,2019-06-18 13:34:30
Kafa,Kafa,2.0,2019-10-19 01:06:24
Omlet sa povrćem,Doručak,4.0,2019-03-01 16:44:27
Čizburger,Ručak,4.5,2019-01-12 14:28:20
Omlet sa povrćem,Doručak,4.0,2019-10-22 04:07:04
Domaća čorba,Ručak,5.0,2019-01-26 09:29:05
Bijelo Vino,Piće,15.0,2019-01-24 17:33:53
Kupus salata 100g,Salata,1.0,2019-04-06 18:51:22
Ruska salata 200g,Salata,4.0,2019-07-18 23:13:38
Jagoda,Piće,2.0,2019-05-01 13:59:51
Indeks sendvič,Sendvič,2.0,2019-10-12 19:44:56
Riblja čorba,Posno,6.0,2019-07-07 23:41:47
Ćevapi srednja porcija,Roštilj,5.0,2019-10-10 11:20:56
Šiš ćevapi,Roštilj,4.0,2019-05-30 00:35:55
Fruit smoothie 2,Smoothie,3.0,2019-11-14 10:00:46
Kafa,Kafa,2.0,2019-02-02 11:06:36
Ćevapi srednja porcija,Roštilj,5.0,2019-10-08 00:36:58
Kola,Piće,2.0,2019-12-30 00:29:13
Roštiljska kobasica,Roštilj,3.0,2019-08-26 22:55:13
Ćevapi mala porcija,Roštilj,3.0,2019-11-18 14:08:37
Gurmanski hamburger,Ručak,7.0,2019-06-10 00:16:21
Roštiljska kobasica,Roštilj,3.0,2019-07-18 19:51:31
Pileći file,Roštilj,5.0,2019-09-25 09:46:44
Ruska salata 100g,Salata,2.0,2019-04-03 15:00:01
Čaj,Piće,1.5,2019-04-17 07:41:32
Indeks sendvič,Sendvič,2.0,2019-05-19 21:45:06
Čaj,Piće,1.5,2019-09-14 18:30:49
Pileći file,Roštilj,5.0,2019-08-30 17:01:41
Omlet sa povrćem,Doručak,4.0,2019-02-08 09:46:23
Vijetnamski som 200g,Posno,12.0,2019-07-12 10:10:11
Kola,Piće,2.0,2019-06-26 07:46:20
Pileće krpice,Roštilj,6.0,2019-08-15 15:26:16
Kola,Piće,2.0,2019-04-08 02:53:24
Cedevita,Piće,3.0,2019-05-27 23:07:14
Kafa,Kafa,2.0,2019-01-28 10:45:12
Pileći file,Roštilj,5.0,2019-10-10 08:37:32
Hamburger,Ručak,4.0,2019-07-22 08:14:50
Omlet sa sirom,Doručak,4.0,2019-10-18 16:16:47
Cedevita,Piće,3.0,2019-08-29 12:27:47
Luk,Salata,1.0,2019-04-19 19:09:04
Jabuka,Piće,2.0,2019-06-03 08:56:27
Ruska salata 200g,Salata,4.0,2019-12-02 23:14:29
Domaća čorba,Ručak,5.0,2019-09-20 03:18:02
Riblja čorba,Posno,6.0,2019-01-18 08:41:38
Vijetnamski som 200g,Posno,12.0,2019-11-02 18:52:24
Pastrmka 200g,Posno,7.0,2019-11-12 16:49:02
Lignje 300g,Posno,8.0,2019-04-16 18:47:54
Oslić 200g,Posno,6.0,2019-04-17 21:06:29
Voćni sendvič,Sendvič,3.0,2019-01-15 11:19:50
Čizburger,Ručak,4.5,2019-01-31 23:13:08
Engleska salata 100g,Salata,2.0,2019-10-18 19:53:52
Hercegovačko vino,Piće,20.0,2019-03-11 19:17:33
Fruit smoothie 1,Smoothie,3.0,2019-12-29 19:58:22
Oslić 200g,Posno,6.0,2019-09-28 12:33:15
Engleska salata 100g,Salata,2.0,2019-11-18 21:26:17
Ruska salata 200g,Salata,4.0,2019-03-01 22:58:28
Omlet sa povrćem,Doručak,4.0,2019-10-01 23:35:15
Bijelo Vino,Piće,15.0,2019-06-12 19:35:00
Pastrmka 200g,Posno,7.0,2019-04-25 07:08:44
Jagoda,Piće,2.0,2019-07-31 05:56:02
Pileći file,Roštilj,5.0,2019-05-30 08:51:58
Jabuka,Piće,2.0,2019-11-07 18:55:17
Riblja čorba,Posno,6.0,2019-05-30 17:01:20
Voćni sendvič,Sendvič,3.0,2019-11-09 05:30:22
Ćevapi srednja porcija,Roštilj,5.0,2019-08-28 02:20:08
Omlet sa slaninom,Doručak,5.0,2019-06-04 17:12:52
Čaj,Piće,1.5,2019-09-13 04:42:25
Doručak specijal,Doručak,6.0,2019-10-17 07:04:55
Pastrmka 200g,Posno,7.0,2019-04-29 02:40:20
Omlet sa slaninom,Doručak,5.0,2019-01-16 04:44:12
Omlet,Doručak,3.5,2019-09-19 12:45:04
Fruit smoothie 3,Smoothie,3.0,2019-06-02 07:08:24
Bijelo Vino,Piće,15.0,2019-08-03 11:11:11
Fruit smoothie 2,Smoothie,3.0,2019-02-06 18:59:40
Engleska salata 100g,Salata,2.0,2019-11-22 16:02:21
Crno Vino,Piće,18.0,2019-04-07 09:01:01
Omlet sa povrćem,Doručak,4.0,2019-09-23 15:35:11
Engleska salata 100g,Salata,2.0,2019-05-30 03:32:48
Jaja i kobasica,Doručak,5.0,2019-11-25 11:13:58
Pastrmka 200g,Posno,7.0,2019-04-12 15:26:21
Čizburger,Ručak,4.5,2019-08-07 10:03:47
Ćevapi mala porcija,Roštilj,3.0,2019-02-11 05:03:35
Oslić 300g,Posno,8.0,2019-12-16 08:00:51
Oslić 200g,Posno,6.0,2019-12-11 20:57:32
Jaja i kobasica,Doručak,5.0,2019-12-28 20:04:06
Omlet,Doručak,3.5,2019-03-12 01:00:05
Oslić 200g,Posno,6.0,2019-07-25 10:10:20
Omlet sa sirom,Doručak,4.0,2019-09-16 00:24:52
Bijelo Vino,Piće,15.0,2019-11-16 00:12:18
Omlet sa sirom,Doručak,4.0,2019-03-27 23:17:12
Engleska salata 100g,Salata,2.0,2019-03-08 01:58:36
Indeks sendvič,Sendvič,2.0,2019-04-28 22:04:40
Doručak specijal,Doručak,6.0,2019-10-21 18:54:14
Domaća čorba,Ručak,5.0,2019-09-18 01:45:43
Crno Vino,Piće,18.0,2019-08-19 06:55:22
Oslić 200g,Posno,6.0,2019-07-23 17:13:33
Kupus salata 100g,Salata,1.0,2019-01-16 16:15:59
Crno Vino,Piće,18.0,2019-09-08 09:41:08
Čizburger,Ručak,4.5,2019-01-26 12:24:08
Pileći file,Roštilj,5.0,2019-07-11 04:31:25
Voćni sendvič,Sendvič,3.0,2019-03-11 17:36:39
Dupli čizburger,Ručak,6.0,2019-11-27 03:42:17
Omlet sa slaninom,Doručak,5.0,2019-09-13 12:32:00
Kafa,Kafa,2.0,2019-12-01 14:19:06
Luk,Salata,1.0,2019-03-29 01:41:54
Domaća čorba,Ručak,5.0,2019-06-09 21:23:18
Bijelo Vino,Piće,15.0,2019-06-21 16:20:54
Jagoda,Piće,2.0,2019-04-15 13:38:52
Kola,Piće,2.0,2019-04-16 00:41:19
Jaja i kobasica,Doručak,5.0,2019-07-20 10:37:12
Šiš ćevapi,Roštilj,4.0,2019-08-03 10:21:14
Omlet,Doručak,3.5,2019-09-17 06:56:55
Oslić 300g,Posno,8.0,2019-03-12 05:47:38
Indeks sendvič,Sendvič,2.0,2019-07-09 10:09:41
Cedevita,Piće,3.0,2019-03-22 14:35:43
Crno Vino,Piće,18.0,2019-02-16 10:56:57
Bijelo Vino,Piće,15.0,2019-03-02 01:37:28
Domaća čorba,Ručak,5.0,2019-04-26 20:17:39
Kafa,Kafa,2.0,2019-07-08 01:13:50
Cedevita,Piće,3.0,2019-10-08 04:33:48
Omlet sa sirom,Doručak,4.0,2019-03-04 20:48:58
Crno Vino,Piće,18.0,2019-01-17 12:22:46
Hamburger,Ručak,4.0,2019-03-21 18:54:47
Pileći file,Roštilj,5.0,2019-10-01 09:04:53
Kapućino,Kafa,2.0,2019-10-29 01:28:32
Omlet sa slaninom,Doručak,5.0,2019-04-05 13:03:40
Bijelo Vino,Piće,15.0,2019-12-02 07:31:45
Ćevapi mala porcija,Roštilj,3.0,2019-01-01 11:59:28
Fruit smoothie 3,Smoothie,3.0,2019-11-15 10:15:49
Ćevapi mala porcija,Roštilj,3.0,2019-10-12 11:17:02
Hamburger,Ručak,4.0,2019-03-23 07:33:43
Čizburger,Ručak,4.5,2019-03-01 09:26:24
Pastrmka 200g,Posno,7.0,2019-02-04 19:18:34
Šiš ćevapi,Roštilj,4.0,2019-02-03 04:28:04
Ruska salata 200g,Salata,4.0,2019-02-15 01:10:22
Riblja čorba,Posno,6.0,2019-08-04 11:31:50
Omlet,Doručak,3.5,2019-03-05 19:27:53
Ruska salata 200g,Salata,4.0,2019-10-04 18:40:50
Omlet sa sirom,Doručak,4.0,2019-04-17 04:12:53
Lignje 300g,Posno,8.0,2019-06-18 13:02:33
Kola,Piće,2.0,2019-06-17 11:32:43
Čizburger,Ručak,4.5,2019-03-08 00:33:00
Kafa,Kafa,2.0,2019-01-23 14:18:11
Jagoda,Piće,2.0,2019-03-16 14:05:39
Fruit smoothie 2,Smoothie,3.0,2019-08-11 11:46:23
Vijetnamski som 200g,Posno,12.0,2019-11-18 02:09:58
Vijetnamski som 200g,Posno,12.0,2019-04-01 19:44:18
Hercegovačko vino,Piće,20.0,2019-07-19 14:43:18
Dupli čizburger,Ručak,6.0,2019-09-10 20:43:35
Engleska salata 100g,Salata,2.0,2019-05-30 00:40:47
Ruska salata 100g,Salata,2.0,2019-08-26 18:15:21
Ćevapi velika porcija,Roštilj,6.5,2019-02-26 11:01:27
Ruska salata 100g,Salata,2.0,2019-10-22 16:54:47
Fruit smoothie 3,Smoothie,3.0,2019-04-20 03:56:45
Omlet,Doručak,3.5,2019-12-04 21:13:44
Šiš ćevapi,Roštilj,4.0,2019-03-31 06:12:03
Cedevita,Piće,3.0,2019-10-24 20:32:04
Kapućino,Kafa,2.0,2019-09-19 18:22:31
Pileće krpice,Roštilj,6.0,2019-06-21 23:43:07
Kupus salata 100g,Salata,1.0,2019-01-11 00:35:16
Jagoda,Piće,2.0,2019-09-03 00:07:13
Šiš ćevapi,Roštilj,4.0,2019-08-13 06:47:35
Ćevapi mala porcija,Roštilj,3.0,2019-01-16 17:05:25
Crno Vino,Piće,18.0,2019-06-24 18:02:35
Jagoda,Piće,2.0,2019-01-14 12:08:13
Ruska salata 100g,Salata,2.0,2019-11-23 07:41:54
Ćevapi velika porcija,Roštilj,6.5,2019-11-14 13:33:56
Indeks sendvič,Sendvič,2.0,2019-01-24 02:48:44
Fruit smoothie 3,Smoothie,3.0,2019-12-31 16:51:36
Omlet sa slaninom,Doručak,5.0,2019-05-03 07:00:30
Kafa,Kafa,2.0,2019-10-09 08:38:18
Gurmanski hamburger,Ručak,7.0,2019-05-08 03:07:07
Doručak specijal,Doručak,6.0,2019-03-23 21:54:04
Jabuka,Piće,2.0,2019-04-26 16:27:26
Gurmanski hamburger,Ručak,7.0,2019-02-24 17:22:14
Ćevapi velika porcija,Roštilj,6.5,2019-12-19 02:17:44
Fruit smoothie 2,Smoothie,3.0,2019-08-04 14:00:22
Bijelo Vino,Piće,15.0,2019-05-29 04:27:50
Kapućino,Kafa,2.0,2019-04-02 11:00:28
Indeks sendvič,Sendvič,2.0,2019-12-02 08:47:12
Roštiljska kobasica,Roštilj,3.0,2019-07-19 06:57:52
Čaj,Piće,1.5,2019-07-11 09:10:43
Oslić 300g,Posno,8.0,2019-04-28 06:33:42
Hercegovačko vino,Piće,20.0,2019-09-21 18:10:41
Kola,Piće,2.0,2019-10-02 04:11:21
Lignje 300g,Posno,8.0,2019-11-12 14:57:45
Lignje 300g,Posno,8.0,2019-03-16 23:55:16
Fruit smoothie 1,Smoothie,3.0,2019-11-07 21:55:13
Omlet,Doručak,3.5,2019-01-14 08:02:36
Pileći file,Roštilj,5.0,2019-08-01 08:01:45
Fruit smoothie 2,Smoothie,3.0,2019-01-06 22:09:47
Jagoda,Piće,2.0,2019-02-22 23:09:50
Doručak specijal,Doručak,6.0,2019-08-28 19:27:23
Kupus salata 100g,Salata,1.0,2019-01-11 20:26:41
Kapućino,Kafa,2.0,2019-12-29 00:37:42
Voćni sendvič,Sendvič,3.0,2019-04-12 23:16:53
Ruska salata 200g,Salata,4.0,2019-10-27 13:24:11
Crno Vino,Piće,18.0,2019-08-21 00:14:59
Čaj,Piće,1.5,2019-10-29 16:25:25
Voćni sendvič,Sendvič,3.0,2019-02-23 06:47:43
Omlet sa sirom,Doručak,4.0,2019-11-30 07:43:27
Kola,Piće,2.0,2019-04-06 12:08:08
Fruit smoothie 2,Smoothie,3.0,2019-10-10 18:32:08
Ćevapi srednja porcija,Roštilj,5.0,2019-11-23 09:58:56
Omlet sa povrćem,Doručak,4.0,2019-01-16 22:44:08
Ćevapi srednja porcija,Roštilj,5.0,2019-07-29 03:44:39
Voćni sendvič,Sendvič,3.0,2019-04-02 11:47:26
Omlet,Doručak,3.5,2019-03-28 14:00:52
Ćevapi mala porcija,Roštilj,3.0,2019-11-13 11:32:54
Dupli čizburger,Ručak,6.0,2019-12-28 15:38:46
Bijelo Vino,Piće,15.0,2019-08-28 22:37:16
Oslić 200g,Posno,6.0,2019-09-04 10:02:31
Domaća čorba,Ručak,5.0,2019-08-29 06:35:21
Voćni sendvič,Sendvič,3.0,2019-09-09 10:31:30
Pastrmka 200g,Posno,7.0,2019-04-15 12:23:39
Čaj,Piće,1.5,2019-12-23 20:06:33
Ćevapi velika porcija,Roštilj,6.5,2019-01-22 05:57:58
Riblja čorba,Posno,6.0,2019-05-20 18:06:31
Jaja i kobasica,Doručak,5.0,2019-11-06 23:45:35
Vijetnamski som 200g,Posno,12.0,2019-04-26 11:24:44
Ćevapi mala porcija,Roštilj,3.0,2019-06-24 20:17:28
Domaća čorba,Ručak,5.0,2019-03-13 16:08:43
Crno Vino,Piće,18.0,2019-04-02 07:56:04
Fruit smoothie 2,Smoothie,3.0,2019-05-30 16:57:21
Indeks sendvič,Sendvič,2.0,2019-01-23 04:44:45
Dupli čizburger,Ručak,6.0,2019-10-24 11:06:51
Fruit smoothie 2,Smoothie,3.0,2019-07-15 17:56:02
Omlet sa povrćem,Doručak,4.0,2019-11-22 03:39:35
Bijelo Vino,Piće,15.0,2019-09-11 03:55:15
Voćni sendvič,Sendvič,3.0,2019-04-17 02:33:12
Hercegovačko vino,Piće,20.0,2019-07-17 05:56:38
Gurmanski hamburger,Ručak,7.0,2019-05-12 11:31:25
Oslić 300g,Posno,8.0,2019-06-06 14:21:53
Pastrmka 200g,Posno,7.0,2019-05-16 22:12:05
Omlet sa sirom,Doručak,4.0,2019-12-30 05:29:30
Hercegovačko vino,Piće,20.0,2019-03-24 14:16:29
Čaj,Piće,1.5,2019-06-21 11:18:56
Hamburger,Ručak,4.0,2019-12-28 05:42:57
Voćni sendvič,Sendvič,3.0,2019-11-08 16:59:58
Oslić 200g,Posno,6.0,2019-03-02 13:45:56
Gurmanski hamburger,Ručak,7.0,2019-01-17 04:00:02
Domaća čorba,Ručak,5.0,2019-11-25 11:37:55
Čizburger,Ručak,4.5,2019-02-06 12:22:26
Fruit smoothie 2,Smoothie,3.0,2019-10-04 21:08:37
Vijetnamski som 200g,Posno,12.0,2019-08-20 11:53:09
Kafa,Kafa,2.0,2019-01-14 07:46:52
Omlet sa povrćem,Doručak,4.0,2019-03-11 15:24:31
Ruska salata 100g,Salata,2.0,2019-06-26 16:39:02
Bijelo Vino,Piće,15.0,2019-07-04 05:07:17
Roštiljska kobasica,Roštilj,3.0,2019-03-10 09:41:30
Roštiljska kobasica,Roštilj,3.0,2019-10-05 12:25:47
Vijetnamski som 200g,Posno,12.0,2019-06-10 21:09:43
Kafa,Kafa,2.0,2019-09-12 00:20:14
Fruit smoothie 3,Smoothie,3.0,2019-12-07 10:22:22
Vijetnamski som 200g,Posno,12.0,2019-05-24 17:28:58
Kapućino,Kafa,2.0,2019-03-30 16:34:35
Ruska salata 100g,Salata,2.0,2019-06-15 12:51:27
Bijelo Vino,Piće,15.0,2019-06-23 05:34:54
Jagoda,Piće,2.0,2019-11-21 16:37:25
Riblja čorba,Posno,6.0,2020-01-01 01:20:20
Omlet,Doručak,3.5,2019-03-02 02:21:53
Roštiljska kobasica,Roštilj,3.0,2019-08-16 12:20:21
Dupli čizburger,Ručak,6.0,2019-10-28 12:46:09
Fruit smoothie 2,Smoothie,3.0,2019-05-01 13:34:24
Bijelo Vino,Piće,15.0,2019-11-11 00:44:16
Kapućino,Kafa,2.0,2019-11-30 23:26:10
Ćevapi velika porcija,Roštilj,6.5,2019-03-13 16:24:54
Cedevita,Piće,3.0,2019-08-30 04:19:54
Ćevapi mala porcija,Roštilj,3.0,2019-10-10 09:41:23
Indeks sendvič,Sendvič,2.0,2019-08-09 10:56:08
Luk,Salata,1.0,2019-04-25 07:37:43
Kupus salata 100g,Salata,1.0,2019-11-29 16:37:29
Omlet,Doručak,3.5,2019-02-26 11:50:17
Roštiljska kobasica,Roštilj,3.0,2019-06-23 01:10:17
Oslić 200g,Posno,6.0,2019-10-29 11:26:41
Kupus salata 100g,Salata,1.0,2019-09-22 11:57:47
Pileći file,Roštilj,5.0,2019-04-29 12:33:20
Pileće krpice,Roštilj,6.0,2019-03-18 12:03:23
Roštiljska kobasica,Roštilj,3.0,2019-03-06 06:22:27
Šiš ćevapi,Roštilj,4.0,2019-04-22 00:08:09
Kupus salata 100g,Salata,1.0,2019-02-19 21:47:24
Fruit smoothie 3,Smoothie,3.0,2019-10-26 18:47:04
Kupus salata 100g,Salata,1.0,2019-09-21 14:50:40
Pastrmka 200g,Posno,7.0,2019-05-01 13:07:44
Vijetnamski som 200g,Posno,12.0,2019-11-28 05:19:51
Domaća čorba,Ručak,5.0,2019-06-08 21:55:34
Omlet,Doručak,3.5,2019-02-01 03:42:30
Omlet,Doručak,3.5,2019-01-27 13:55:15
Omlet sa povrćem,Doručak,4.0,2019-05-08 09:01:48
Pileće krpice,Roštilj,6.0,2019-04-06 18:03:12
Vijetnamski som 200g,Posno,12.0,2019-02-04 01:50:55
Luk,Salata,1.0,2019-06-28 18:17:37
Hamburger,Ručak,4.0,2019-07-28 09:06:25
Kupus salata 100g,Salata,1.0,2019-02-20 23:33:45
Kola,Piće,2.0,2019-05-15 10:03:30
Omlet,Doručak,3.5,2019-05-21 08:58:37
Kapućino,Kafa,2.0,2019-04-18 01:49:06
Roštiljska kobasica,Roštilj,3.0,2019-09-11 01:34:28
Fruit smoothie 1,Smoothie,3.0,2019-10-05 22:14:19
Omlet,Doručak,3.5,2019-12-09 08:17:50
Omlet sa slaninom,Doručak,5.0,2019-06-23 10:27:44
Šiš ćevapi,Roštilj,4.0,2019-09-22 12:41:18
Omlet sa slaninom,Doručak,5.0,2019-06-06 10:47:35
Cedevita,Piće,3.0,2019-05-13 00:20:52
Cedevita,Piće,3.0,2019-08-10 21:34:36
Ćevapi mala porcija,Roštilj,3.0,2019-04-30 11:18:09
Gurmanski hamburger,Ručak,7.0,2019-03-01 07:23:57
Šiš ćevapi,Roštilj,4.0,2019-12-05 09:19:50
Ćevapi velika porcija,Roštilj,6.5,2019-05-17 03:33:41
Oslić 300g,Posno,8.0,2019-01-16 08:42:58
Hercegovačko vino,Piće,20.0,2019-11-20 12:08:21
Fruit smoothie 1,Smoothie,3.0,2019-02-18 06:00:45
Cedevita,Piće,3.0,2019-05-18 17:05:41
Vijetnamski som 200g,Posno,12.0,2019-05-01 16:21:53
Čaj,Piće,1.5,2019-06-11 10:32:35
Lignje 300g,Posno,8.0,2019-08-24 12:39:08
Ruska salata 200g,Salata,4.0,2019-12-05 06:59:49
Crno Vino,Piće,18.0,2019-10-06 11:39:58
Jagoda,Piće,2.0,2019-11-30 12:06:45
Bijelo Vino,Piće,15.0,2019-10-18 00:23:40
Jagoda,Piće,2.0,2019-12-23 23:37:39
Ćevapi srednja porcija,Roštilj,5.0,2019-09-24 15:28:57
Pastrmka 200g,Posno,7.0,2019-07-08 11:01:03
Dupli čizburger,Ručak,6.0,2019-08-14 10:53:32
Vijetnamski som 200g,Posno,12.0,2019-02-25 15:35:26
Oslić 300g,Posno,8.0,2019-07-04 23:37:28
Fruit smoothie 1,Smoothie,3.0,2019-12-02 20:29:35
Čaj,Piće,1.5,2019-03-31 17:57:17
Cedevita,Piće,3.0,2019-12-06 22:28:03
Cedevita,Piće,3.0,2019-03-05 02:25:02
Ruska salata 100g,Salata,2.0,2019-04-12 04:12:52
Oslić 300g,Posno,8.0,2019-03-15 07:49:11
Indeks sendvič,Sendvič,2.0,2019-08-08 05:31:27
Engleska salata 100g,Salata,2.0,2019-08-21 22:37:25
Kafa,Kafa,2.0,2019-01-21 22:43:41
Roštiljska kobasica,Roštilj,3.0,2019-09-17 17:32:22
Dupli čizburger,Ručak,6.0,2019-11-03 05:20:14
Omlet sa povrćem,Doručak,4.0,2019-03-24 19:01:38
Omlet sa slaninom,Doručak,5.0,2019-03-28 10:41:14
Vijetnamski som 200g,Posno,12.0,2019-08-28 16:20:36
Indeks sendvič,Sendvič,2.0,2019-02-16 10:11:07
Doručak specijal,Doručak,6.0,2019-05-01 15:35:20
Pileći file,Roštilj,5.0,2019-06-22 20:03:21
Kola,Piće,2.0,2019-05-20 12:23:58
Dupli čizburger,Ručak,6.0,2019-09-25 13:33:17
Indeks sendvič,Sendvič,2.0,2019-05-07 11:05:17
Ruska salata 100g,Salata,2.0,2019-09-08 02:08:17
Kapućino,Kafa,2.0,2019-11-15 23:10:41
Crno Vino,Piće,18.0,2019-03-11 22:16:51
Crno Vino,Piće,18.0,2019-12-31 09:35:38
Ćevapi srednja porcija,Roštilj,5.0,2019-04-14 04:46:12
Vijetnamski som 200g,Posno,12.0,2019-04-01 04:55:53
Ćevapi velika porcija,Roštilj,6.5,2019-09-09 09:48:35
Vijetnamski som 200g,Posno,12.0,2019-03-13 18:34:09
Indeks sendvič,Sendvič,2.0,2019-01-01 14:29:58
